vfx001,1,30
vfx002,31,78
vfx003,108,147
vfx004,148,189
vfx005,190,219
vfx006,220,253
vfx007,254,305
vfx008,306,393
vfx009,394,412
vfx010,413,438
vfx011,468,500
vfx012,618,660
vfx013,661,702
vfx014_ps,703,750
